12/2/19,T needs to announce share buybacks and dividend increase at tomorrow’s conference.,0,BayBack/Div
12/3/19,CFO John Stephens stated minutes ago in his webcast at the Well Fargo summit that AT&T is planning to buy back 10% of its stock over the next three years.,1,BuyBack
12/3/19,This stock is going to go up and up while paying great dividends.5G coming and AT&T is well positioned there to profit from 5G business services.,1,Earnings /Div
12/3/19,"T will be fine, the US economy will be fine. (tariff cash from China goes to business",1,Economy
12/3/19,Pretty much a red day across the board but T up..........sweet!,,
12/3/19,"AT&T just said they were going to retire 10 percent of their stock over the next three years, 30 billion retired. If this happens, the stock will skyrocket.",1,BuyBack
12/3/19,Cost cutting of 4% is good. Probably won’t offset DTV losses but that’s a different story.,1,Debt/cost
12/4/19,"Solid three year plan. Share buybacks, cost savings, margin improvement, and growth in their largest segments.￼ I expect a steady rise over that time.",1,Earnings
12/4/19,T HAS REALLY BEEN GOOD TO ME. PATIENCE WILL BE REWARDED..,1,Six Sense
12/4/19,"When does T raise the Div, hoping a nice surprise of 2 cents",1,Div
12/4/19,Positive Upside steady dividend activist forcing debt reduction and 5g 0n the horizon,1,
12/4/19,I expect a bigger than normal dividend increase. Ts propects have never been better.,1,Div
12/4/19,Wee will soon see $40 as a X-mass present!,1,Six Sense
12/4/19,"olume is heavy. Bullish indication in Stochastic oscillator and RSI, according to stoxline.",1,Analyst
12/4/19,the CFO news was expected however the markets not going to react positively today to the news.,-1,Six Sense
12/5/19,"$60/share stock with a 5.4% solid dividend on sale for $38/share ! Unless you don't have money to invest, how do you pass this up??",1,Value / Div
12/5/19,"It's all about DEBT. As long as this is the Board's focus, ""T"" will be fine.",1,Earnings
12/5/19,If we get a solid candle above the 50 dma today. Investors will flood in on confirmation. All it has to do is close green.,1,Behavior?
12/5/19,"President tweets about not worried about trade deal till after election and the market bombs. Next day, a story about unknown sources saying deal is close and market recovers. Our money is basically a game to these people.",0,Politics
12/5/19,Why is it some folks get all excited when a stock goes up. The number one rule is buy low and sell high.,-1,Behavior
12/5/19,$40 is the goal!,1,Six Sense
12/5/19,This stock crashes tomorrow on the news that AT&T cooperated with Adam Schiff to get the phone numbers of his political opponents. Not a good look. When will these dumbbells stay out of politics.,-1,Politics
12/5/19,Why did AT&T release the names associated to the phone numbers given AT&T from Adam Schiff (the lier) without a subpoena ?,-1,Politics
12/6/19,4 cents probably means more to a lot of people than it does to a high rolling self-prclaimed multi-milionaire like you,1,Dividend
12/6/19,"How quickly people forget the day T closed up 50-cents while the general market tanked. This is a DEFENSIVE stock. Today's volume was significantly below average, indicating lack of buying interest from the algorithms. Lots of good economic news today means more money flowing into recently beat-up sectors like retailers & energy. T is up 25% over the last 12 months & has outperformed the S&P by 8%. Next week will be the last solid trading week of the year before heading into erratic lower-volume pre-holiday trading activity. Don't expect too much from T here, a slide back down to $36-$37 area quite possible. Even at that, still an EXCELLENT buying opp for those wanting to add some extra shares. Over the intermediate term (3-5 yrs), T is a STEAL below $40, we assimilate more whenever possible.",1,Projection?
12/6/19,I cant remember a time when this country has been so divided. We even have stress during the holidays because most families have different views. I may not agree with all the different things going on so i ask myself. Can i change anything? I refuse to have bad feelings about anyone regardless of their views. All these negative vibes are bad for everyone. I wish everyone the best.,0,Politics
12/6/19,EVERY single day of Trump being president has had a contentious feeling in the air which now has been spreading throughout the world...it will be a miracle even if he does win re-election carrying 243 pounds and the stress of the job will get to him...it's not healthy...,-1,Politics
12/6/19,"I believe ""T"" will be back in the mid-to-low $37's next week. I own quite a bit of ""T"" stock, mainly for the dividend but the swings require a lot of patience right now. I'm a little worried, but not a lot worried.",1,Dividend
12/6/19,Dems don't want you to be successful.,-1,Politics
12/6/19,"I get tired of all the traders ""predictions"" also. (as soon as we have a red day, all the $35 predictions will start again)",,Behavior
12/6/19,I wonder how many of the jobs are other than for the holidays? These numbers could be mis leading which is probably the case.,-1,Employment
12/6/19,Good news today on the economic front. I am liking the trump administration right now,1,Politics
12/6/19,Unemployment could hit 3% in 2020.,-1,Employment
12/6/19,"Look at the Job numbers this morning. Great numbers, thanks Donald",1,Employment
12/6/19,Shareholders beware of churn. It will take months to show up but it is coming in a big way,-1,
12/6/19,With the FCC ruling today Apple's 5G iPhone will soon be on its way.,1,
12/6/19,TO EVERYTHING CHURN CHURN CHURN THERE IS A PURPOSE UNDER HEAVEN,,
12/6/19,It looks like AT&T will willfully hand over your phone records to the government anytime they ask. Better switch to Apple if you care about your privacy,-1,
12/6/19,Doesn't matter. It's only going to be four cents.,-1,Dividend
